#,access,\,dist,thread,,
#,3,iters,,,,
#,memory,size,,,,
,,,,,,
,,,,,,
vmstat_16t_2G_random_1,,,,,,
nr_inactive_anon,523,12330,11807,1387,936,-451
nr_active_anon,28988,8849,-20139,19999,25282,5283
nr_inactive_file,602,3764039,3763437,1293,7464687,7463394
nr_active_file,19160,3758496,3739336,10305,42747,32442
nr_unevictable,0,0,0,0,0,0
nr_slab_reclaimable,19473,49373,29900,21946,49331,27385
nr_slab_unreclaimable,27288,27535,247,27384,28082,698
nr_isolated_anon,0,0,0,0,0,0
nr_isolated_file,0,0,0,0,0,0
workingset_nodes,1,960,959,73,281,208
workingset_refault_anon,2289252,2299412,10160,2667676,2667676,0
workingset_refault_file,12895652128,13056827201,161175073,14348945630,14510171285,161225655
workingset_activate_anon,200276,203862,3586,264574,264574,0
workingset_activate_file,2595299453,2626513366,31213913,2943334302,2943334302,0
workingset_restore_anon,130996,134550,3554,175769,175769,0
workingset_restore_file,8448931322,8466398911,17467589,8660971469,8817310664,156339195
workingset_nodereclaim,2849,2849,0,3107,3107,0
nr_anon_pages,28949,20297,-8652,20769,25307,4538
nr_mapped,18945,12277,-6668,11092,17542,6450
nr_file_pages,35110,7533987,7498877,21754,7518981,7497227
nr_dirty,89,5,-84,64,61,-3
nr_writeback,0,0,0,0,0,0
nr_writeback_temp,0,0,0,0,0,0
nr_shmem,12,91,79,12,14,2
nr_shmem_hugepages,0,0,0,0,0,0
nr_shmem_pmdmapped,0,0,0,0,0,0
nr_file_hugepages,0,0,0,0,0,0
nr_file_pmdmapped,0,0,0,0,0,0
nr_anon_transparent_hugepages,0,0,0,0,0,0
nr_vmscan_write,1585583,1612219,26636,1925197,1925199,2
nr_vmscan_immediate_reclaim,16456,16461,5,16754,16754,0
nr_dirtied,455232,460451,5219,495875,500950,5075
nr_written,1997168,2028615,31447,2374939,2379518,4579
nr_throttled_written,0,0,0,0,0,0
nr_kernel_misc_reclaimable,0,0,0,0,0,0
nr_foll_pin_acquired,0,0,0,0,0,0
nr_foll_pin_released,0,0,0,0,0,0
nr_kernel_stack,8916,8884,-32,9080,9000,-80
nr_page_table_pages,2146,2346,200,2117,2962,845
nr_swapcached,15910,11551,-4359,10196,11655,1459
pgpromote_success,0,0,0,0,0,0
